"","branch_office","month_tz","day_tz","day_of_week_tz","hour_tz","tiempodeses","visitor"
"1",1,11,17,"Thursday",4,0,"false"
"2",3,11,3,"Thursday",22,477,"true"
"3",3,11,12,"Saturday",10,0,"false"
"4",3,11,27,"Sunday",21,0,"false"
"5",1,11,27,"Sunday",16,0,"false"
"6",1,10,29,"Saturday",14,284,"true"
"7",1,11,16,"Wednesday",19,1857,"true"
"8",3,11,9,"Wednesday",11,0,"false"
"9",3,11,15,"Tuesday",7,0,"false"
"10",3,11,4,"Friday",14,224,"true"
"11",3,11,6,"Sunday",9,0,"false"
"12",2,11,23,"Wednesday",16,17230,"true"
"13",1,11,28,"Monday",17,0,"false"
"14",1,11,16,"Wednesday",8,12530,"true"
"15",1,11,14,"Monday",11,0,"false"
"16",2,11,13,"Sunday",12,0,"false"
"17",3,11,10,"Thursday",8,0,"false"
"18",3,11,14,"Monday",16,0,"false"
"19",1,11,8,"Tuesday",22,116,"true"
"20",1,11,9,"Wednesday",20,24,"false"
"21",1,11,16,"Wednesday",21,466,"true"
"22",3,11,9,"Wednesday",15,158,"true"
"23",1,10,29,"Saturday",7,0,"false"
"24",1,11,12,"Saturday",21,31,"false"
"25",3,11,14,"Monday",19,0,"false"
"26",1,10,27,"Thursday",9,0,"false"
"27",1,11,13,"Sunday",12,121,"true"
"28",1,11,2,"Wednesday",18,12,"false"
"29",1,11,10,"Thursday",11,25895,"true"
"30",1,10,31,"Monday",9,18061,"true"
"31",1,11,16,"Wednesday",17,0,"false"
"32",1,11,16,"Wednesday",19,0,"false"
"33",3,11,15,"Tuesday",15,1017,"true"
"34",1,10,25,"Tuesday",22,2379,"true"
"35",1,10,30,"Sunday",7,0,"false"
"36",1,11,4,"Friday",10,785,"true"
"37",3,11,13,"Sunday",2,5311,"true"
"38",1,11,2,"Wednesday",22,47,"false"
"39",3,11,11,"Friday",21,2568,"true"
"40",3,11,24,"Thursday",6,0,"false"
"41",3,11,8,"Tuesday",18,690,"true"
"42",1,10,28,"Friday",17,0,"false"
"43",3,11,23,"Wednesday",16,0,"false"
"44",1,11,23,"Wednesday",23,330,"true"
"45",1,11,28,"Monday",8,0,"false"
"46",1,11,14,"Monday",9,0,"false"
"47",3,11,30,"Wednesday",14,0,"false"
"48",1,11,6,"Sunday",21,0,"false"
